Fil uppdaterad 210916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Planerat kommande två veckor ,,,
År,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
Vecka, 52 , 53 , 1 , 2 , 2 , 3 , 4 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 8 , 8 , 9 , 9 , 9 , 10 , 10 , 11 , 11 , 11 , 12 , 12 , 13 , 13 , 13 , 14 , 14 , 15 , 15 , 15 , 16 , 16 , 17 , 17 , 17 , 18 , 18 , 18 , 19 , 19 , 20 , 20 , 20 , 21 , 21 , 21 , 22 , 22 , 23 , 23 , 24 , 24 , 25 , 25 , 26 , 26 , 27 , 27 , 28 , 28 , 29 , 29 , 30 , 30 , 31 , 31 , 32 , 32 , 33 , 33 , 34 , 34 , 35 , 35 , 36 , 37 , 37 , 38 , 38 , 39 , 39 
Leverantör,  Pfizer/BioNTech ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna , AstraZeneca ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech , Moderna ,  Pfizer/BioNTech 
  Antal doser till Sverige ," 9,750 "," 78,000 "," 87,750 "," 10,800 "," 89,700 "," 66,300 "," 67,275 "," 15,600 "," 94,770 "," 31,200 "," 45,600 "," 94,770 "," 54,600 "," 115,830 "," 93,600 "," 118,170 "," 58,800 "," 86,400 "," 126,360 "," 128,800 "," 132,210 "," 54,000 "," 52,800 "," 132,210 "," 26,400 "," 167,310 "," 80,400 "," 26,400 "," 168,480 "," 252,000 "," 293,670 "," 70,800 "," 31,200 "," 294,840 "," 80,700 "," 294,840 "," 40,800 "," 226,400 "," 409,500 "," 45,600 "," 374,400 "," 352,170 "," 67,200 "," 352,170 "," 67,200 "," 21,400 "," 369,720 "," 67,200 "," 19,000 "," 370,890 "," 67,200 "," 595,530 "," 67,200 "," 526,500 "," 67,200 "," 526,500 "," 72,000 "," 663,390 "," 76,800 "," 664,560 "," 90,000 "," 370,890 "," 103,200 "," 370,890 "," 103,200 "," 372,060 "," 103,200 "," 372,060 "," 102,000 "," 345,150 "," 102,000 "," 345,150 "," 102,000 "," 400,140 "," 284,400 "," 432,900 "," 235,200 "," 410,670 "," 398,970 "," 172,800 "," 259,740 "," 333,600 "," 264,420 "," 273,600 "," 650,520 "
  Blekinge  , 400 , 975 ," 1,950 ", 200 ," 1,950 "," 1,950 ", 975 , 300 ," 2,340 ", 600 , 900 ," 2,340 "," 1,000 "," 2,340 "," 1,800 "," 1,170 "," 1,100 "," 1,600 "," 2,340 "," 2,400 "," 2,340 "," 1,000 "," 1,000 "," 2,340 ", 500 ," 3,510 "," 1,500 ", 400 ," 3,510 "," 4,700 "," 4,680 "," 1,300 ", 600 ," 4,680 "," 1,500 "," 4,680 ", 800 ," 4,000 "," 7,020 ", 700 ," 6,500 "," 5,850 "," 1,000 "," 5,850 "," 1,000 "," 1,500 "," 5,850 "," 1,000 ", -   ," 5,850 ", 900 ," 8,190 "," 1,000 "," 8,190 "," 1,000 "," 8,190 "," 1,100 "," 9,360 "," 1,100 "," 9,360 "," 1,300 "," 5,850 "," 1,500 "," 4,680 "," 1,500 "," 5,850 "," 1,500 "," 4,680 "," 1,500 "," 4,680 "," 1,500 "," 5,850 "," 1,500 "," 7,020 "," 5,900 "," 5,850 "," 2,900 "," 5,850 "," 3,510 "," 1,000 "," 3,510 ", -   ," 3,510 "," 1,000 "," 3,510 "
  Dalarna , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 500 ," 3,510 "," 1,100 "," 1,600 "," 3,510 "," 1,900 "," 3,510 "," 3,200 "," 3,510 "," 2,000 "," 3,000 "," 4,680 "," 4,400 "," 4,680 "," 1,900 "," 1,800 "," 4,680 ", 900 ," 5,850 "," 2,800 ", 900 ," 5,850 "," 8,600 "," 9,360 "," 2,400 "," 1,100 "," 9,360 "," 2,800 "," 10,530 "," 1,400 "," 7,700 "," 14,040 "," 1,300 "," 10,500 "," 9,360 "," 1,900 "," 9,360 "," 1,700 "," 4,200 "," 10,530 "," 1,700 ", -   ," 9,360 "," 1,800 "," 16,380 "," 1,800 "," 14,040 "," 1,800 "," 14,040 "," 1,800 "," 16,380 "," 2,000 "," 17,550 "," 2,300 "," 8,190 "," 2,700 "," 10,530 "," 2,700 "," 10,530 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 9,300 "," 11,700 "," 5,200 "," 10,530 "," 5,850 "," 3,900 ", -   , -   , -   , -   , -   
  Gotland , 400 , 975 , 975 , 100 , 975 , 975 , 975 , 100 ," 1,170 ", 200 , 300 ," 1,170 ", 300 ," 1,170 ", 600 ," 1,170 ", 500 , 600 ," 1,170 ", 800 ," 1,170 ", 400 , 400 ," 1,170 ", 200 ," 1,170 ", 600 , 200 , -   ," 1,900 "," 2,340 ", 500 , 300 ," 1,170 ", 700 ," 1,170 ", 300 ," 1,800 "," 1,170 ", 300 ," 2,600 "," 2,340 ", 400 ," 2,340 ", 400 ," 2,300 "," 2,340 ", 400 , -   ," 2,340 ", 400 ," 2,340 ", 300 ," 2,340 ", 400 ," 2,340 ", 400 ," 4,680 ", 400 ," 4,680 ", 500 ," 1,170 ", 600 ," 2,340 ", 600 ," 2,340 "," 1,300 "," 1,170 ", 700 ," 2,340 ", 600 ," 2,340 ", 700 ," 3,510 "," 1,600 "," 2,340 "," 1,200 "," 2,340 ", -   , 200 ," 1,170 ", -   , -   , 200 , -   
  Gävleborg , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 500 ," 3,510 ", 700 ," 1,500 "," 3,510 "," 1,800 "," 3,510 "," 3,200 "," 3,510 "," 2,000 "," 2,900 "," 4,680 "," 4,300 "," 4,680 "," 1,800 "," 1,800 "," 4,680 ", 900 ," 5,850 "," 2,700 ", 900 ," 5,850 "," 8,400 "," 9,360 "," 2,400 "," 1,000 "," 9,360 "," 2,700 "," 9,360 "," 1,500 "," 7,400 "," 14,040 "," 1,300 "," 8,700 "," 9,360 "," 1,900 "," 10,530 "," 1,800 "," 2,000 "," 9,360 "," 1,800 ", -   ," 9,360 "," 1,800 "," 16,380 "," 1,800 "," 14,040 "," 1,800 "," 14,040 "," 1,900 "," 16,380 "," 2,000 "," 17,550 "," 2,500 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 10,530 "," 2,700 "," 10,530 "," 2,700 "," 8,190 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 9,360 "," 2,700 "," 10,530 ", -   , -   ," 4,680 ", -   , -   , -   , -   
  Halland , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 600 ," 3,510 "," 1,100 "," 1,600 "," 3,510 "," 1,900 "," 4,680 "," 3,300 "," 4,680 "," 2,100 "," 3,100 "," 4,680 "," 4,500 "," 4,680 "," 1,900 "," 1,900 "," 4,680 ", 900 ," 5,850 "," 2,900 ", 900 ," 5,850 "," 8,800 "," 9,360 "," 2,500 "," 1,100 "," 10,530 "," 2,800 "," 10,530 "," 1,400 "," 8,500 "," 14,040 "," 1,500 "," 11,000 "," 11,700 "," 2,200 "," 11,700 "," 2,100 ", -   ," 11,700 "," 2,000 ", -   ," 11,700 "," 2,100 "," 17,550 "," 2,100 "," 16,380 "," 2,000 "," 16,380 "," 2,200 "," 19,890 "," 2,400 "," 21,060 "," 2,800 "," 11,700 "," 3,100 "," 10,530 "," 3,100 "," 11,700 "," 3,400 "," 11,700 "," 4,200 "," 11,700 "," 3,300 "," 10,530 "," 3,300 "," 12,870 "," 12,200 "," 15,210 "," 6,200 "," 12,870 "," 21,060 ", -   ," 11,700 ", -   , -   , -   , -   
  Jämtland/Härjedalen , 400 , 975 , 975 , 200 , 975 , 975 , 975 , 200 ," 2,340 ", 500 , 700 ," 1,170 ", 800 ," 1,170 "," 1,400 "," 2,340 ", 900 ," 1,300 "," 2,340 "," 1,900 "," 2,340 ", 800 , 700 ," 2,340 ", 400 ," 2,340 "," 1,100 ", 400 ," 2,340 "," 3,700 "," 4,680 "," 1,100 ", 500 ," 3,510 "," 1,200 "," 4,680 ", 600 ," 3,400 "," 5,850 ", 500 ," 5,800 "," 4,680 ", 900 ," 4,680 ", 800 , -   ," 4,680 ", 800 , -   ," 4,680 ", 800 ," 5,850 ", 800 ," 5,850 ", 800 ," 5,850 "," 1,200 "," 8,190 ", 700 ," 9,360 "," 1,100 "," 3,510 "," 1,200 "," 4,680 "," 1,200 "," 4,680 "," 1,200 "," 4,680 "," 1,200 "," 3,510 "," 1,200 "," 4,680 "," 1,200 "," 5,850 "," 7,100 "," 4,680 "," 2,400 "," 4,680 "," 4,680 ", -   , -   , -   ," 1,170 "," 1,000 ", -   
  Jönköping , 400 ," 2,925 "," 2,925 ", 400 ," 2,925 "," 2,925 "," 1,950 ", 600 ," 3,510 "," 1,200 "," 1,700 "," 3,510 "," 2,000 "," 4,680 "," 3,500 "," 4,680 "," 2,200 "," 3,200 "," 4,680 "," 4,700 "," 4,680 "," 2,000 "," 1,900 "," 4,680 "," 1,000 "," 5,850 "," 3,000 "," 1,000 "," 5,850 "," 9,200 "," 10,530 "," 2,600 "," 1,100 "," 11,700 "," 3,000 "," 11,700 "," 1,500 "," 8,200 "," 15,210 "," 1,600 "," 4,000 "," 11,700 "," 2,300 "," 11,700 "," 2,300 ", -   ," 12,870 "," 2,300 ", -   ," 12,870 "," 2,300 "," 19,890 "," 2,300 "," 17,550 "," 2,200 "," 17,550 "," 2,500 "," 24,570 "," 2,600 "," 22,230 "," 3,100 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 12,870 "," 3,500 "," 11,700 "," 3,800 "," 11,700 "," 3,500 "," 14,040 "," 16,400 "," 16,380 "," 17,900 "," 16,380 "," 26,910 ", -   ," 10,530 ", -   , -   , -   , -   
  Kalmar  , 400 ," 1,950 "," 2,925 ", 300 ," 2,925 "," 2,925 ", 975 , 500 ," 2,340 ", 900 ," 1,400 "," 2,340 "," 1,700 "," 3,510 "," 2,800 "," 3,510 "," 1,800 "," 2,600 "," 3,510 "," 4,000 "," 3,510 "," 1,600 "," 1,600 "," 3,510 ", 800 ," 4,680 "," 2,400 ", 800 ," 5,850 "," 7,500 "," 9,360 "," 2,100 ", 900 ," 8,190 "," 2,400 "," 9,360 "," 1,200 "," 6,500 "," 12,870 "," 1,100 "," 9,000 "," 8,190 "," 1,600 "," 8,190 "," 1,500 "," 4,800 "," 8,190 "," 1,500 ", -   ," 8,190 "," 1,500 "," 14,040 "," 1,500 "," 11,700 "," 1,500 "," 11,700 "," 1,600 "," 14,040 "," 1,700 "," 15,210 "," 2,000 "," 8,190 "," 2,300 "," 8,190 "," 2,300 "," 8,190 "," 2,300 "," 9,360 "," 2,300 "," 7,020 ", -   ," 8,190 "," 2,300 "," 8,190 "," 7,000 "," 8,190 "," 12,500 "," 9,360 "," 9,360 "," 2,500 "," 2,340 ", -   ," 1,170 "," 2,700 "," 3,510 "
  Kronoberg , 400 ," 1,950 "," 1,950 ", 200 ," 1,950 "," 1,950 ", 975 , 300 ," 2,340 ", 600 , 900 ," 2,340 "," 1,200 "," 2,340 "," 1,900 "," 2,340 "," 1,200 "," 1,800 "," 1,170 "," 2,700 "," 2,340 "," 1,100 "," 1,200 "," 2,340 ", 500 ," 3,510 "," 1,800 ", 600 ," 3,510 "," 5,500 "," 5,850 "," 1,500 ", 600 ," 5,850 "," 1,700 "," 5,850 ", 800 ," 4,300 "," 9,360 ", 900 ," 8,800 "," 7,020 "," 1,300 "," 7,020 "," 1,200 ", -   ," 7,020 "," 1,300 ", -   ," 7,020 "," 1,200 "," 11,700 "," 1,300 "," 10,530 "," 1,300 "," 10,530 "," 1,400 "," 11,700 "," 1,500 "," 11,700 "," 1,700 "," 7,020 "," 2,000 "," 7,020 "," 2,000 "," 7,020 "," 2,000 "," 7,020 "," 1,800 "," 5,850 "," 2,000 "," 7,020 "," 2,000 "," 8,190 "," 5,000 "," 8,190 "," 5,200 "," 9,360 "," 5,850 "," 1,500 "," 3,510 ", -   ," 2,340 "," 1,500 "," 2,340 "
